epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,60.6097,0.24508,0.26579,0.78554,0.9976,1,0.995,0.979,0.21683,0.22645,0.7961,0.0011486,0.0011486,0.0011486
45,61.8632,0.24007,0.26629,0.79781,0.99788,1,0.995,0.991,0.20533,0.2152,0.79682,0.0011288,0.0011288,0.0011288
46,63.1396,0.23404,0.26082,0.79832,0.99808,1,0.995,0.995,0.21734,0.22269,0.79768,0.001109,0.001109,0.001109
47,64.3941,0.24409,0.25786,0.8006,0.99806,1,0.995,0.9902,0.21967,0.2232,0.7998,0.0010892,0.0010892,0.0010892
48,65.6995,0.23246,0.24907,0.79754,0.99808,1,0.995,0.995,0.19765,0.22807,0.79892,0.0010694,0.0010694,0.0010694
49,66.9547,0.23475,0.25581,0.8037,0.99804,1,0.995,0.98633,0.20975,0.23307,0.79875,0.0010496,0.0010496,0.0010496
50,68.2691,0.22065,0.24499,0.80605,0.99786,1,0.995,0.995,0.22097,0.23377,0.80499,0.0010298,0.0010298,0.0010298
51,69.5406,0.24056,0.24957,0.80173,0.9979,1,0.995,0.991,0.20716,0.2337,0.8006,0.00101,0.00101,0.00101
52,70.7831,0.23662,0.25152,0.79431,0.99795,1,0.995,0.99084,0.20875,0.20973,0.79366,0.0009902,0.0009902,0.0009902
53,71.9965,0.23515,0.24697,0.79513,0.99795,1,0.995,0.98583,0.19759,0.21019,0.79555,0.0009704,0.0009704,0.0009704
54,73.2562,0.22601,0.23469,0.79025,0.99795,1,0.995,0.995,0.19074,0.2094,0.79756,0.0009506,0.0009506,0.0009506
55,74.5178,0.21789,0.23194,0.79001,0.99795,1,0.995,0.98284,0.20899,0.21546,0.79997,0.0009308,0.0009308,0.0009308
56,75.7884,0.23967,0.24439,0.81069,0.99782,1,0.995,0.99068,0.19867,0.19403,0.79968,0.000911,0.000911,0.000911
57,77.0356,0.24151,0.24177,0.79842,0.99781,1,0.995,0.99084,0.21045,0.19014,0.80177,0.0008912,0.0008912,0.0008912
58,78.3258,0.22325,0.23125,0.79251,0.99749,1,0.995,0.995,0.18964,0.19389,0.79417,0.0008714,0.0008714,0.0008714
59,79.5678,0.23886,0.23296,0.80905,0.99524,1,0.995,0.995,0.17249,0.18541,0.79556,0.0008516,0.0008516,0.0008516
60,80.8237,0.22611,0.22766,0.79766,0.99745,1,0.995,0.98547,0.19346,0.17046,0.79624,0.0008318,0.0008318,0.0008318
61,82.0574,0.23305,0.23688,0.80737,0.9979,1,0.995,0.995,0.18962,0.21463,0.79159,0.000812,0.000812,0.000812
62,83.3193,0.20113,0.21814,0.79288,0.99795,1,0.995,0.995,0.1954,0.20011,0.78983,0.0007922,0.0007922,0.0007922
63,84.624,0.22313,0.22934,0.80064,0.99794,1,0.995,0.995,0.17803,0.20416,0.79047,0.0007724,0.0007724,0.0007724
64,85.8867,0.22458,0.23055,0.81348,0.99796,1,0.995,0.99084,0.17098,0.20288,0.7898,0.0007526,0.0007526,0.0007526
65,87.1534,0.21878,0.22563,0.79675,0.99796,1,0.995,0.98683,0.18071,0.19991,0.79366,0.0007328,0.0007328,0.0007328
66,88.4432,0.20567,0.21773,0.797,0.99801,1,0.995,0.991,0.18071,0.18591,0.79218,0.000713,0.000713,0.000713
67,89.7354,0.19669,0.20587,0.79464,0.99806,1,0.995,0.98988,0.18662,0.19418,0.79169,0.0006932,0.0006932,0.0006932
68,90.9932,0.20175,0.20666,0.80029,0.99809,1,0.995,0.975,0.20593,0.19671,0.80434,0.0006734,0.0006734,0.0006734
69,92.2501,0.21735,0.22113,0.80123,0.99811,1,0.995,0.987,0.16793,0.1989,0.79327,0.0006536,0.0006536,0.0006536
70,93.5553,0.2195,0.21723,0.80416,0.99789,1,0.995,0.98668,0.18956,0.1856,0.79348,0.0006338,0.0006338,0.0006338
71,94.8295,0.20027,0.19888,0.79357,0.99785,1,0.995,0.995,0.17813,0.18475,0.79021,0.000614,0.000614,0.000614
72,96.1178,0.20385,0.20402,0.80662,0.99794,1,0.995,0.98667,0.17902,0.18093,0.793,0.0005942,0.0005942,0.0005942
73,97.3485,0.19311,0.20264,0.78653,0.99796,1,0.995,0.99052,0.16405,0.16845,0.791,0.0005744,0.0005744,0.0005744
74,98.6242,0.19697,0.19419,0.78646,0.99794,1,0.995,0.99052,0.15552,0.1566,0.79,0.0005546,0.0005546,0.0005546
75,99.8696,0.19305,0.20058,0.79903,0.99797,1,0.995,0.995,0.15644,0.15087,0.79112,0.0005348,0.0005348,0.0005348
76,101.136,0.17975,0.18748,0.79764,0.99799,1,0.995,0.99068,0.15993,0.14507,0.79121,0.000515,0.000515,0.000515
77,102.397,0.19144,0.18666,0.79649,0.99797,1,0.995,0.995,0.16019,0.14591,0.79259,0.0004952,0.0004952,0.0004952
78,103.645,0.19182,0.1933,0.79577,0.99797,1,0.995,0.995,0.15573,0.15208,0.79058,0.0004754,0.0004754,0.0004754
79,104.884,0.18083,0.18714,0.80069,0.99793,1,0.995,0.995,0.15804,0.15863,0.79159,0.0004556,0.0004556,0.0004556
80,106.142,0.18194,0.18639,0.79575,0.99797,1,0.995,0.995,0.15492,0.14822,0.79138,0.0004358,0.0004358,0.0004358
81,107.366,0.18867,0.19384,0.80598,0.99796,1,0.995,0.995,0.14841,0.13772,0.79313,0.000416,0.000416,0.000416
82,108.652,0.18214,0.18512,0.80571,0.99797,1,0.995,0.99052,0.15134,0.14327,0.79422,0.0003962,0.0003962,0.0003962
83,109.919,0.18334,0.17787,0.79046,0.998,1,0.995,0.995,0.15902,0.13833,0.79427,0.0003764,0.0003764,0.0003764
84,111.172,0.183,0.18365,0.79366,0.99798,1,0.995,0.995,0.14297,0.1373,0.79382,0.0003566,0.0003566,0.0003566
